Checkpoint,arrive,ascend,chase,climb,crawl,creep,cross,cycle,dash,depart,descend,drift,flee,float,fly,gallop,glide,go,hasten,hike,hurry,inch,journey,limp,lurch,march,meander,paddle,plunge,race,ride,row,run,rush,sail,scramble,skate,speed,stagger,stumble,swim,taxi,travel,tumble,walk,wander
134000,0.8205128205128205,0.875,0.0,0.44642857142857145,0.8666666666666667,0.6,0.16393442622950818,1.0,0.7777777777777778,1.0,0.8208955223880597,0.9107142857142857,0.9855072463768116,0.7727272727272727,0.9111111111111111,0.6666666666666666,1.0,1.0,0.0,0.875,0.38095238095238093,0.0,0.9523809523809523,0.5555555555555556,0.0,0.821917808219178,0.375,0.8,0.6666666666666666,0.2857142857142857,0.5625,0.7142857142857143,0.9324324324324325,0.7676767676767676,0.9186046511627907,0.0,0.75,1.0,0.0,0.6666666666666666,0.8723404255319149,0.7142857142857143,0.9782608695652174,0.7142857142857143,0.813953488372093,1.0
135000,0.8461538461538461,0.925,0.0,0.5714285714285714,0.9333333333333333,0.8,0.06557377049180328,1.0,0.7777777777777778,1.0,0.8805970149253731,0.9464285714285714,1.0,0.8181818181818182,0.9111111111111111,0.6666666666666666,1.0,1.0,0.0,1.0,0.047619047619047616,0.0,0.9523809523809523,0.8888888888888888,1.0,0.8493150684931506,0.375,1.0,0.8333333333333334,0.5142857142857142,0.625,0.8571428571428571,0.9324324324324325,0.37373737373737376,0.8953488372093024,0.0,1.0,1.0,0.0,1.0,0.9361702127659575,0.8571428571428571,0.9782608695652174,0.8571428571428571,0.9302325581395349,1.0
136000,0.7692307692307693,0.9,0.125,0.9107142857142857,1.0,0.6,0.08196721311475409,1.0,0.7777777777777778,1.0,0.8656716417910447,0.9464285714285714,1.0,0.6818181818181818,0.9111111111111111,1.0,1.0,1.0,0.0,0.875,0.047619047619047616,0.5,0.9047619047619048,0.8888888888888888,1.0,0.8493150684931506,0.625,0.8,0.8333333333333334,0.02857142857142857,0.3333333333333333,0.35714285714285715,0.972972972972973,0.4444444444444444,0.9069767441860465,0.0,1.0,1.0,0.6,1.0,0.9361702127659575,0.7142857142857143,0.9891304347826086,0.8571428571428571,0.9418604651162791,1.0
137000,0.8205128205128205,0.95,0.0,0.875,0.8666666666666667,0.4,0.5409836065573771,1.0,0.7777777777777778,1.0,0.8955223880597015,0.9285714285714286,0.9855072463768116,0.6363636363636364,0.9333333333333333,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9523809523809523,0.7777777777777778,1.0,0.821917808219178,0.625,1.0,0.8333333333333334,0.05714285714285714,0.75,0.7142857142857143,0.972972972972973,0.6464646464646465,0.9069767441860465,0.0,0.75,1.0,0.0,0.6666666666666666,0.851063829787234,1.0,0.9891304347826086,0.8571428571428571,0.8604651162790697,1.0
138000,0.7435897435897436,0.9,0.25,0.48214285714285715,1.0,0.4,0.3442622950819672,1.0,0.7777777777777778,1.0,0.9104477611940298,0.9464285714285714,0.9855072463768116,0.6363636363636364,0.9111111111111111,0.6666666666666666,1.0,1.0,0.1111111111111111,1.0,0.07142857142857142,0.0,0.9047619047619048,0.7777777777777778,0.0,0.863013698630137,0.0,0.8,0.8333333333333334,0.0,0.16666666666666666,0.8571428571428571,0.972972972972973,0.46464646464646464,0.8837209302325582,0.0,0.75,1.0,0.0,0.8333333333333334,0.8723404255319149,0.2857142857142857,0.9891304347826086,0.8571428571428571,0.8953488372093024,1.0
139000,0.7948717948717948,0.95,0.125,0.9464285714285714,1.0,0.6,0.06557377049180328,1.0,0.8888888888888888,1.0,0.9402985074626866,0.9642857142857143,1.0,0.8636363636363636,0.9555555555555556,1.0,1.0,1.0,0.1111111111111111,1.0,0.5476190476190477,1.0,0.9047619047619048,1.0,1.0,0.9041095890410958,0.375,0.8,0.8333333333333334,0.42857142857142855,0.5833333333333334,0.9285714285714286,0.972972972972973,0.9393939393939394,0.9186046511627907,0.8571428571428571,0.75,1.0,0.8,1.0,0.9787234042553191,0.8571428571428571,0.9891304347826086,0.8571428571428571,1.0,1.0
140000,0.8974358974358975,0.95,0.125,0.6071428571428571,0.9333333333333333,0.8,0.47540983606557374,1.0,0.7777777777777778,1.0,0.9104477611940298,0.9642857142857143,1.0,0.9090909090909091,0.9777777777777777,1.0,1.0,1.0,0.0,1.0,0.7857142857142857,0.5,0.9523809523809523,1.0,1.0,0.958904109589041,0.75,0.8,0.8333333333333334,0.4857142857142857,0.8125,1.0,0.972972972972973,0.9393939393939394,0.9302325581395349,0.0,1.0,1.0,0.6,1.0,0.9574468085106383,0.8571428571428571,0.9891304347826086,0.8571428571428571,0.9418604651162791,1.0
141000,0.8205128205128205,0.925,0.0,0.6785714285714286,0.8666666666666667,0.4,0.4426229508196721,1.0,0.6666666666666666,0.9230769230769231,0.9104477611940298,0.9285714285714286,0.9710144927536232,0.7272727272727273,0.9222222222222223,0.6666666666666666,0.6666666666666666,1.0,0.0,0.875,0.14285714285714285,0.0,0.9047619047619048,0.7777777777777778,1.0,0.8356164383561644,0.25,0.8,0.8333333333333334,0.11428571428571428,0.20833333333333334,0.7857142857142857,0.9459459459459459,0.8787878787878788,0.9069767441860465,0.0,1.0,1.0,0.6,1.0,0.851063829787234,0.8571428571428571,0.9891304347826086,0.8571428571428571,0.9069767441860465,1.0
142000,0.8205128205128205,0.925,0.125,0.42857142857142855,0.9333333333333333,0.4,0.3442622950819672,1.0,0.6666666666666666,1.0,1.0,0.9642857142857143,1.0,0.9090909090909091,0.9444444444444444,1.0,1.0,1.0,0.0,0.75,0.4523809523809524,0.5,0.9523809523809523,0.8888888888888888,1.0,0.9041095890410958,0.625,0.8,0.8333333333333334,0.14285714285714285,0.22916666666666666,0.7142857142857143,1.0,0.9292929292929293,0.9302325581395349,0.0,1.0,1.0,0.0,0.3333333333333333,0.9148936170212766,1.0,0.9891304347826086,0.8571428571428571,0.9069767441860465,1.0
143000,0.8205128205128205,0.95,0.0,0.32142857142857145,0.9333333333333333,0.4,0.0,1.0,0.6666666666666666,0.9230769230769231,0.9253731343283582,0.9285714285714286,1.0,0.6363636363636364,0.9,1.0,1.0,1.0,0.0,0.5,0.11904761904761904,0.5,0.9047619047619048,1.0,1.0,0.8356164383561644,0.0,0.0,0.8333333333333334,0.11428571428571428,0.2916666666666667,0.21428571428571427,0.9324324324324325,0.6363636363636364,0.9069767441860465,0.0,0.5,1.0,0.0,0.8333333333333334,0.8085106382978723,0.7142857142857143,0.9891304347826086,0.8571428571428571,0.12790697674418605,1.0
