Checkpoint,split_a_landlord,split_b_landlord
50,0.0,0.0
60,0.19517313746065057,0.18947368421052632
70,0.6909758656873033,0.6641604010025063
80,0.17628541448058763,0.21152882205513784
90,0.19097586568730326,0.20852130325814536
100,0.080797481636936,0.09323308270676692
150,0.012067156348373556,0.016040100250626566
200,0.440713536201469,0.6095238095238096
250,0.015739769150052464,0.0456140350877193
300,0.1967471143756558,0.4656641604010025
350,0.011542497376705142,0.039097744360902256
400,0.04512067156348373,0.11779448621553884
450,0.05246589716684155,0.05914786967418546
500,0.11857292759706191,0.061654135338345864
550,0.1390346274921301,0.05513784461152882
600,0.07187827911857293,0.011528822055137845
650,0.21983210912906612,0.06516290726817042
700,0.04459601259181532,0.0030075187969924814
750,0.10545645330535153,0.016040100250626566
800,0.13326337880377753,0.011027568922305764
850,0.07817418677859392,0.0030075187969924814
900,0.08499475341028331,0.0020050125313283208
950,0.06925498426023086,0.006516290726817042
1000,0.05141657922350472,0.0020050125313283208
1050,0.053515215110178385,0.0020050125313283208
1100,0.08237145855194124,0.004511278195488722
1150,0.08499475341028331,0.004511278195488722
1200,0.1353620146904512,0.005513784461152882
1250,0.10283315844700944,0.0035087719298245615
1300,0.15162644281217208,0.007017543859649123
1350,0.14428121720881426,0.011528822055137845
1400,0.1353620146904512,0.006516290726817042
1450,0.229800629590766,0.01904761904761905
1500,0.19517313746065057,0.011027568922305764
1550,0.1285414480587618,0.006015037593984963
1600,0.16789087093389296,0.008521303258145364
1650,0.1316894018887723,0.007017543859649123
1700,0.022035676810073453,0.0020050125313283208
1750,0.07135362014690451,0.0020050125313283208
1800,0.11437565582371459,0.004511278195488722
1850,0.08342077649527807,0.0035087719298245615
1900,0.1789087093389297,0.013533834586466165
1950,0.19779643231899266,0.007518796992481203
2000,0.12224554039874082,0.005513784461152882
2100,0.12906610703043023,0.005513784461152882
2200,0.19412381951731375,0.009022556390977444
2300,0.12067156348373557,0.002506265664160401
2400,0.155299055613851,0.004511278195488722
2500,0.10860440713536201,0.0035087719298245615
2600,0.22455403987408185,0.008020050125313283
2700,0.1825813221406086,0.017543859649122806
2800,0.12801678908709338,0.0010025062656641604
2900,0.13273871983210914,0.0015037593984962407
3000,0.17628541448058763,0.006015037593984963
3100,0.1789087093389297,0.0040100250626566416
3200,0.1794333683105981,0.008020050125313283
3300,0.18153200419727178,0.017042606516290727
3400,0.28069254984260233,0.010526315789473684
3500,0.31532004197271774,0.009022556390977444
3600,0.25236096537250785,0.010526315789473684
3700,0.2397691500524659,0.006516290726817042
3800,0.27177334732423925,0.010526315789473684
3900,0.20356768100734524,0.002506265664160401
4000,0.2586568730325289,0.005513784461152882
4100,0.21983210912906612,0.007518796992481203
4200,0.17418677859391396,0.004511278195488722
4300,0.1888772298006296,0.005513784461152882
4400,0.2402938090241343,0.010526315789473684
4500,0.1825813221406086,0.0020050125313283208
4600,0.15320041972717732,0.002506265664160401
4700,0.15792235047219308,0.0035087719298245615
4800,0.10598111227701994,0.002506265664160401
4900,0.1584470094438615,0.0035087719298245615
5000,0.28803777544596015,0.014536340852130326
5100,0.17733473242392445,0.008020050125313283
5200,0.18415529905561384,0.005012531328320802
5300,0.2025183630640084,0.008521303258145364
5400,0.1379853095487933,0.0015037593984962407
5500,0.1385099685204617,0.004511278195488722
5600,0.1657922350472193,0.0035087719298245615
5700,0.1521511017838405,0.007518796992481203
5800,0.19359916054564533,0.018546365914786967
5900,0.18730325288562436,0.008521303258145364
6000,0.24501573976915006,0.008020050125313283
6100,0.28226652675760755,0.02355889724310777
6200,0.24868835257082897,0.01904761904761905
6300,0.15424973767051417,0.007017543859649123
6400,0.06558237145855195,0.031578947368421054
6500,0.08394543546694648,0.010526315789473684
6600,0.17681007345225602,0.008521303258145364
6700,0.1521511017838405,0.009523809523809525
6800,0.1862539349422875,0.008020050125313283
6900,0.195697796432319,0.004511278195488722
7000,0.195697796432319,0.012030075187969926
7100,0.18572927597061908,0.006516290726817042
7200,0.18153200419727178,0.008521303258145364
7300,0.155299055613851,0.006015037593984963
7400,0.17366211962224554,0.005012531328320802
7500,0.19517313746065057,0.008521303258145364
7600,0.22350472193074503,0.026566416040100252
7700,0.15005246589716684,0.009523809523809525
7800,0.19622245540398742,0.013533834586466165
7900,0.21038824763903463,0.009022556390977444
8000,0.2124868835257083,0.011027568922305764
8100,0.16107030430220357,0.005012531328320802
8200,0.16789087093389296,0.0030075187969924814
8300,0.1322140608604407,0.005012531328320802
8400,0.14742917103882477,0.006516290726817042
8500,0.2030430220356768,0.015037593984962405
8600,0.19045120671563484,0.012030075187969926
8700,0.1484784889821616,0.005513784461152882
8800,0.17051416579223505,0.002506265664160401
8900,0.16998950682056663,0.0010025062656641604
9000,0.1852046169989507,0.010025062656641603
9100,0.11332633788037776,0.0030075187969924814
9200,0.13693599160545644,0.0040100250626566416
9300,0.2402938090241343,0.012030075187969926
9400,0.16002098635886675,0.005513784461152882
9500,0.195697796432319,0.0035087719298245615
9600,0.2938090241343127,0.014035087719298246
9700,0.20671563483735572,0.007017543859649123
9800,0.22245540398740818,0.008020050125313283
9900,0.1379853095487933,0.0020050125313283208
10000,0.23399790136411333,0.007518796992481203
10100,0.22560335781741866,0.005012531328320802
10200,0.2660020986358867,0.011027568922305764
10300,0.17733473242392445,0.0035087719298245615
10400,0.19045120671563484,0.0030075187969924814
10500,0.236096537250787,0.007017543859649123
10600,0.19989506820566633,0.005513784461152882
10700,0.1626442812172088,0.006015037593984963
10800,0.15005246589716684,0.0020050125313283208
10900,0.2061909758656873,0.007017543859649123
11000,0.18835257082896117,0.004511278195488722
11100,0.23189926547743966,0.012531328320802004
11200,0.1621196222455404,0.007017543859649123
11300,0.22245540398740818,0.004511278195488722
11400,0.18467995802728226,0.006015037593984963
11500,0.17103882476390347,0.0040100250626566416
11600,0.2098635886673662,0.006015037593984963
11700,0.2465897166841553,0.008521303258145364
11800,0.18572927597061908,0.008020050125313283
11900,0.21196222455403987,0.010526315789473684
12000,0.25498426023084997,0.005012531328320802
12100,0.22507869884575027,0.009523809523809525
12200,0.16107030430220357,0.0020050125313283208
12300,0.195697796432319,0.010025062656641603
12400,0.1521511017838405,0.0015037593984962407
12500,0.13641133263378805,0.0040100250626566416
12600,0.17681007345225602,0.005513784461152882
12700,0.21773347324239245,0.006516290726817042
12800,0.1720881427072403,0.009523809523809525
12900,0.18572927597061908,0.005012531328320802
13000,0.1967471143756558,0.013533834586466165
13100,0.189401888772298,0.005513784461152882
13200,0.16841552990556138,0.004511278195488722
13300,0.13588667366211962,0.0015037593984962407
13400,0.1484784889821616,0.0035087719298245615
13500,0.19989506820566633,0.007017543859649123
13600,0.19779643231899266,0.0020050125313283208
13700,0.13955928646379853,0.0005012531328320802
13800,0.23294858342077648,0.0015037593984962407
13900,0.23819517313746066,0.0040100250626566416
14000,0.236096537250787,0.004511278195488722
14100,0.14900314795383002,0.0015037593984962407
14200,0.17366211962224554,0.002506265664160401
14300,0.1348373557187828,0.0015037593984962407
14400,0.20041972717733472,0.0015037593984962407
14500,0.13064008394543547,0.0010025062656641604
14600,0.12959076600209862,0.0010025062656641604
