	0	10	20	30	40	50	60	70	80	90	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500	1550	1600	1650	1700	1750	1800	1850	1900	1950	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000	3100	3200	3300	3400	3500	3600	3700	3800	3900	4000	4100	4200	4300	4400	4500	4600	4700	4800	4900	5000	5100	5200	5300	5400	5500	5600	5700	5800	5900	6000	6100	6200	6300	6400	6500	6600	6700	6800	6900	7000	7100	7200	7300	7400	7500	7600	7700	7800	7900	8000	8100	8200	8300	8400	8500	8600	8700	8800	8900	9000	9100	9200	9300	9400	9500	9600	9700	9800	9900	10000	10100	10200	10300	10400	10500	10600	10700	10800	10900	11000	11100	11200	11300	11400	11500	11600	11700	11800	11900	12000	12100	12200	12300	12400	12500	12600	12700	12800	12900	13000	13100	13200	13300	13400	13500	13600	13700	13800	13900	14000	14100	14200	14300	14400	14500	14600	14700	14800	14900
0	49839	49839	28952	23976	6036	10769	18563	20640	11666	10569	8251	9185	11023	11264	12838	12775	14642	13968	14705	15917	16010	16618	17452	16071	15289	16906	15878	16646	15869	16218	15211	15984	15171	16325	16633	16298	16386	15968	16918	15459	15674	15546	11970	15437	15851	16671	16319	15970	16432	16052	16715	16523	16182	16155	17514	16909	16202	17202	17030	17659	16998	16819	17158	17600	17344	17585	17703	17940	17603	17740	17641	16916	18142	17786	17257	18403	18400	17456	17493	17864	17851	17789	17840	17863	17200	18281	17308	17852	17961	17288	17408	17596	7797	18137	16514	17199	17292	17587	16989	17838	17949	17707	17772	17223	18232	18315	17141	17506	17350	18138	17582	17211	17590	17989	17451	17087	17541	17036	17576	17560	17687	17056	17696	16880	16906	17293	17369	17561	18169	17059	18120	17524	17456	17888	17331	17694	17320	17123	17784	17955	17748	17783	17309	17545	17349	17527	19154	17844	16888	17700	17227	17729	17354	17664	17779	17648	17550	18470	16985	17533	17717	17322	17259	18042	17924	17599	17172	17807	17475	17539	17917	17418	17516	17348	18263	17037	17624	17694
