Checkpoint,reciprocal_police,substance_police
50,1.0,1.0
60,1.0,1.0
70,1.0,1.0
80,1.0,1.0
90,1.0,1.0
100,1.0,1.0
150,1.0,1.0
200,0.9963636363636363,0.9930394431554525
250,0.9836363636363636,0.9837587006960556
300,0.9563636363636364,0.9791183294663574
350,0.9236363636363636,0.9466357308584686
400,0.8163636363636364,0.7911832946635731
450,0.9145454545454546,0.9118329466357309
500,0.9090909090909091,0.8909512761020881
550,0.8909090909090909,0.8607888631090487
600,0.9290909090909091,0.8793503480278422
650,0.9036363636363637,0.839907192575406
700,0.86,0.740139211136891
750,0.8945454545454545,0.8654292343387471
800,0.8945454545454545,0.7470997679814385
850,0.8345454545454546,0.7378190255220418
900,0.8909090909090909,0.8468677494199536
950,0.8381818181818181,0.7842227378190255
1000,0.8236363636363636,0.7308584686774942
1050,0.8490909090909091,0.8120649651972158
1100,0.84,0.7633410672853829
1150,0.850909090909091,0.7099767981438515
1200,0.8818181818181818,0.7888631090487239
1250,0.769090909090909,0.617169373549884
1300,0.8618181818181818,0.7262180974477959
1350,0.8945454545454545,0.7795823665893271
1400,0.8836363636363637,0.7819025522041764
1450,0.86,0.7192575406032483
1500,0.8290909090909091,0.6218097447795824
1550,0.7872727272727272,0.617169373549884
1600,0.850909090909091,0.6566125290023201
1650,0.8381818181818181,0.7447795823665894
1700,0.7654545454545455,0.7726218097447796
1750,0.8127272727272727,0.7146171693735499
1800,0.7927272727272727,0.5939675174013921
1850,0.8709090909090909,0.7262180974477959
1900,0.8581818181818182,0.6566125290023201
1950,0.86,0.691415313225058
2000,0.8090909090909091,0.6566125290023201
2100,0.8527272727272728,0.6728538283062645
2200,0.8927272727272727,0.7308584686774942
2300,0.8290909090909091,0.5591647331786543
2400,0.8181818181818182,0.6264501160092807
2500,0.8109090909090909,0.5754060324825986
2600,0.8709090909090909,0.7354988399071926
2700,0.8309090909090909,0.691415313225058
2800,0.8818181818181818,0.6844547563805105
2900,0.850909090909091,0.6983758700696056
3000,0.8545454545454545,0.6102088167053364
3100,0.8636363636363636,0.6566125290023201
3200,0.7581818181818182,0.531322505800464
3300,0.8054545454545454,0.5127610208816705
3400,0.8181818181818182,0.605568445475638
3500,0.8454545454545455,0.6519721577726219
3600,0.8581818181818182,0.6519721577726219
3700,0.78,0.5591647331786543
3800,0.7981818181818182,0.5359628770301624
3900,0.8109090909090909,0.505800464037123
4000,0.8145454545454546,0.5614849187935035
4100,0.8,0.45011600928074247
4200,0.8163636363636364,0.5104408352668214
4300,0.8163636363636364,0.5150812064965197
4400,0.8290909090909091,0.5707656612529002
4500,0.8036363636363636,0.5127610208816705
4600,0.769090909090909,0.4779582366589327
4700,0.7963636363636364,0.5220417633410673
4800,0.7236363636363636,0.4733178654292343
4900,0.7763636363636364,0.4617169373549884
5000,0.8363636363636363,0.5939675174013921
5100,0.8345454545454546,0.6102088167053364
5200,0.769090909090909,0.4408352668213457
5300,0.8327272727272728,0.6218097447795824
5400,0.7854545454545454,0.5243619489559165
5500,0.769090909090909,0.4547563805104408
5600,0.8163636363636364,0.580046403712297
5700,0.82,0.5939675174013921
5800,0.7163636363636363,0.4176334106728538
5900,0.7509090909090909,0.4222737819025522
6000,0.8145454545454546,0.5870069605568445
6100,0.82,0.5962877030162413
6200,0.7709090909090909,0.37122969837587005
6300,0.7636363636363637,0.4385150812064965
6400,1.0,1.0
6500,0.7272727272727273,0.6218097447795824
6600,0.8309090909090909,0.5127610208816705
6700,0.7981818181818182,0.4408352668213457
6800,0.7636363636363637,0.35962877030162416
