Checkpoint	Ditransitives	Motion	Ditransitive/Motion
30	0.9996757563565667	0.9987158018623209	0.9991693351228768
40	0.9994652249909731	0.9979100335460391	0.998640361914877
50	0.9889111984566209	0.9593772069566553	0.9743176304969864
60	0.9917738906688166	0.9732466159786972	0.9821655831188977
70	0.9920554687096689	0.9760574059284464	0.9838743004278551
80	0.9951630784068838	0.9834010082178848	0.9891546202844258
90	0.9962172647393402	0.9852322948215239	0.9905668317670092
100	0.9972177509247444	0.9879423590763878	0.9924107035464088
150	0.988237930498253	0.9683669658103362	0.9764816990949254
200	0.949380968354425	0.9134666777274381	0.8992715248356385
250	0.9320935813065628	0.9025340861340854	0.8824227032115401
300	0.8943036966450434	0.8661347136001977	0.8258706792666788
350	0.8432905172561802	0.8118200401833454	0.7405254956072397
400	0.7978780274420987	0.7546078385119422	0.6871727252054438
450	0.7480856591629201	0.7368631824600984	0.6421961055539087
500	0.7152790724664382	0.6809527234797513	0.5804351488798437
550	0.5984855201897561	0.5943613230075808	0.46236926769227216
600	0.6074737969377701	0.5832794367905654	0.47913979044782873
650	0.6272526500833789	0.5881617903570534	0.4937179063305829
700	0.46770035549440464	0.5331661709848737	0.3344393108161388
750	0.5708329232281518	0.5260739795967471	0.42012322773503263
800	0.5481182635582937	0.5714692347909577	0.37999137148684436
850	0.49906949525341227	0.5399943680879993	0.33850786444339037
900	0.5236075224333209	0.514207476053844	0.3354185697105573
950	0.5815270872807671	0.5381484883368889	0.3834822480520548
1000	0.5177725472926226	0.49738829138413676	0.34698940202185874
1050	0.5484530194429245	0.5126657418848491	0.3199281678623905
1100	0.6188838797419092	0.4748520333604564	0.3461875968239806
1150	0.5947936152047737	0.46677463427480864	0.30366023838539774
1200	0.5511864508529439	0.5337127851380413	0.3244497793744672
1250	0.4831599053482725	0.42778828441239697	0.3027671079041682
1300	0.49843482419445967	0.49721480764657056	0.28821356925844244
1350	0.5672869675589157	0.4939535278946041	0.2850387917082579
1400	0.5432347237185086	0.4732938329282915	0.2683138329364722
1450	0.5395503372602017	0.4417528925075475	0.2618436391981658
1500	0.5129237499538913	0.48273598542404544	0.257143852799146
1550	0.5359736580241494	0.4474915987398486	0.2727967677100547
1600	0.5146329472789624	0.43669989669969994	0.22775417415435284
1650	0.5562491184438394	0.4142997692770263	0.23575129866734343
1700	0.7330744575556071	0.7066216417120978	0.6193821026417318
1750	0.5102317406617186	0.4971784749917397	0.2989691470370588
1800	0.5208839085408052	0.45266116638712023	0.25498193037333605
1850	0.5309001420934857	0.42882379679681637	0.2345526311453971
1900	0.494263844662016	0.44754823662504434	0.21959343115413701
1950	0.5500460997358722	0.42334605346686754	0.24255926553853455
2000	0.5411826985715888	0.45313894713470004	0.2417754222411879
2100	0.5314612689060314	0.43858757698196016	0.21567361994779158
2200	0.5256373303126213	0.4618108851755886	0.21387504909556718
2300	0.5278886630815545	0.42206971681520095	0.1951523492357483
2400	0.48570454381702466	0.42617476752184397	0.21438610846387968
2500	0.5309399252157215	0.40287516629705	0.18589102502374186
2600	0.5268561280887759	0.40153414248281877	0.19571560688625864
2700	0.5205319428866092	0.39422923636157625	0.1962061092772997
2800	0.5310221163272405	0.4094337641765044	0.19483417369524877
2900	0.5181828510673999	0.42452679497705753	0.17411242272756128
3000	0.492133178888751	0.44737549240903174	0.19140338433269755
3100	0.5044130416433914	0.40434761908577077	0.18187907772201764
3200	0.529797415747888	0.45828921492531255	0.18904085325740963
3300	0.5155684988614729	0.39855244103725135	0.1836839674900807
3400	0.493377404243967	0.3979380090505751	0.1803931479084074
3500	0.4665394430169971	0.41608074406316764	0.16158666751674466
3600	0.4731349068999663	0.37804662261954464	0.15053761149274805
3700	0.47311461400219124	0.412724898738373	0.17836330178882073
3800	0.5026334107683874	0.4059795546420083	0.17956746411755103
3900	0.47141223000412097	0.40438081246496504	0.17689423921924954
4000	0.46335034981032786	0.41070383326063886	0.17730346086573184
4100	0.4772007524680411	0.3908062390796233	0.14967192394472423
4200	0.4492524086609328	0.39187881830786403	0.15162524999377813
4300	0.4569048477898969	0.3793457747974258	0.14496945483643264
4400	0.45817879609138684	0.4095818530983661	0.17937160864646493
4500	0.47705240628126255	0.41510419049598846	0.17376083156431038
4600	0.4669217786808237	0.40695807325950706	0.15518943879187375
4700	0.4676291625859678	0.3643130553645316	0.14802281895415262
4800	0.491838341586744	0.42103276741981077	0.16629014347502227
4900	0.47392120503649343	0.3817593242401126	0.16812206365722052
5000	0.4517406197619552	0.3982590784754851	0.16152394056908015
5100	0.4730828622793266	0.3914880072928295	0.1724443560813855
5200	0.4494826969390736	0.34963729620146955	0.15166189866549284
5300	0.43946836341625717	0.39448136850523796	0.14235688146765438
5400	0.45108931516037515	0.35589887239732254	0.1514587636005286
5500	0.4841821826223624	0.4230414049301348	0.18818930176712279
5600	0.45175609855686366	0.376164795165887	0.1573716768269122
5700	0.4505475225852833	0.3926103616253238	0.14891385704763999
5800	0.40487134222833726	0.38586300916758415	0.1331194077880398
5900	0.4221729240694224	0.38220197799249206	0.15267662704590326
6000	0.43204260947418255	0.39425437387354906	0.1431450217468029
6100	0.44752946031185464	0.3809092367813325	0.14680091754708618
6200	0.44218601252194834	0.38658442419112365	0.1447792629260576
6300	0.43272508556020367	0.4057832568274599	0.13066692164513222
6400	0.9866143652052553	0.967802294933247	0.976428673097511
6500	0.5869859890965814	0.6119284121507756	0.5089085618141788
6600	0.46820313171069394	0.38040922035354113	0.17786108184139876
6700	0.4586891328550645	0.37680045514075355	0.1638949794456131
6800	0.4386388610921019	0.37206007754498444	0.1505568488843417
6900	0.4328094651820282	0.36375423130047024	0.1357778309830863
7000	0.441123320890469	0.3976972306832827	0.14837249186345444
7100	0.42224781592682087	0.3580606466135833	0.14675174892027507
7200	0.4709359451227758	0.3616375721241893	0.1366370264098618
7300	0.4122245738672717	0.37186271858837106	0.14285805162457021
7400	0.44350351050493925	0.3756305353209024	0.1513625360540571
7500	0.45418154911254444	0.37974753148276535	0.1445020875557511
7600	0.4302517053575532	0.3694465695805789	0.13632487212158506
7700	0.4190970767263458	0.39533098464266514	0.15234654519228463
7800	0.421014755097688	0.37450199096417186	0.14552859587740175
7900	0.45323243612958664	0.3940070877906549	0.1620468432703218
8000	0.4480096304614376	0.37254809460235216	0.14859885544881296
8100	0.42291601004075147	0.3509124586998666	0.1575684281939942
8200	0.40935526292740887	0.34663262784661947	0.13036764207279516
8300	0.41226010397680646	0.3706832003996586	0.13687401322935855
8400	0.4142531832357683	0.36226940966076465	0.1506117664541831
8500	0.4032851211037207	0.3616254702732358	0.12706710173519645
8600	0.42788990341283273	0.33598197609984015	0.1569008725617233
8700	0.4245254439775906	0.3329220196147557	0.13174038763990747
8800	0.4315577285433082	0.3481807737099433	0.131790716091364
8900	0.41147235477710226	0.33202009190411963	0.13717868207598108
9000	0.4350298860159705	0.334151572086136	0.157482036686241
9100	0.40361510545365936	0.3413932063886	0.12933808293795743
9200	0.4266794940226412	0.3493107989915557	0.14435702284460533
9300	0.4295606269686592	0.3533896276564101	0.1380902839090401
9400	0.4036030610772011	0.3529220401177096	0.14036571131905937
9500	0.40887133549922355	0.3577545813665802	0.15171390450339683
9600	0.43796141319944293	0.3526539052384722	0.13355287382574857
9700	0.41895752954462157	0.3686036019598162	0.15330326260492338
9800	0.39871960018609065	0.35502186801678415	0.13481070408444454
9900	0.4240091271998799	0.3593865819811188	0.14668144532414495
10000	0.4114889262201317	0.3534357389405292	0.15136851581342878
10100	0.4358304196961504	0.35539946776721615	0.14775784386877866
10200	0.4256331967758583	0.3540579515944124	0.14094515696638504
10300	0.42242870720558184	0.3473390503298321	0.13160391895959447
10400	0.4079671219116615	0.35468145184244176	0.1397227450295325
10500	0.4058352389737089	0.35241861387581325	0.12627759400173422
10600	0.391844710412038	0.3514283038701491	0.12682456310296403
10700	0.40115094256814976	0.3442503388037516	0.13221871664123017
10800	0.4107994022575516	0.32954170563659535	0.14021462934959694
10900	0.4196689519223935	0.36761023781894653	0.1303819971719021
11000	0.4177532187715404	0.36149932587981126	0.13395100886622516
11100	0.41360108114583644	0.3618391819616386	0.13463764324401975
11200	0.38566782253131116	0.3529259614118523	0.11955285334455858
11300	0.44471000487261403	0.35690149352737266	0.17587451073097546
11400	0.41590105494561835	0.3603589421856013	0.13267602922297533
11500	0.42312060150540404	0.368371453510541	0.14606540358347356
11600	0.4059860983499279	0.3294665472320487	0.12308957566028977
11700	0.4023181694463625	0.3545568435776101	0.12976623250426336
11800	0.47343303063032693	0.38925537325149084	0.2275977430107177
11900	0.40043661395524216	0.34942029000834407	0.13076888690023805
12000	0.40182579437454125	0.36710710759404924	0.13634990702207542
12100	0.4205138332293631	0.34197169687266615	0.1390236618658189
12200	0.3910322889247572	0.3757109126642684	0.12696612402112642
12300	0.4064898500263332	0.34213612705845486	0.13134395419582728
12400	0.39122983051882526	0.35054537527278384	0.12897745808182282
12500	0.4344517993941498	0.3693027906475539	0.13462341243881454
12600	0.4288716393479022	0.3380928508894688	0.13611004797423143
12700	0.4092468678633186	0.34436716230925896	0.1308389684134638
12800	0.38919803021279303	0.3858238776921626	0.13780620328563853
12900	0.4000714201505614	0.34622391800219354	0.12886984124392875
13000	0.41089929848202394	0.38306326992547435	0.13610582200240978
13100	0.41143246120027926	0.3376665618073384	0.13834410067507466
13200	0.4001408112079623	0.3517432297544045	0.13227130773374798
13300	0.42028395277252517	0.35669250898242527	0.12924712664331706
13400	0.4052291735249532	0.34255457131982603	0.13000881394980895
13500	0.4343377479059023	0.3475872097539016	0.13530720033268304
13600	0.40682922303105545	0.34908396456484153	0.1272685115662171
13700	0.4434613697908803	0.3194578232226101	0.14611580446272296
13800	0.391512230651607	0.3369940748644928	0.13233338450208254
13900	0.41682142866097754	0.33358382713666995	0.12681619944472614
14000	0.4342924979922882	0.36837084261355757	0.1500902860515327
14100	0.3902454879770733	0.3304558150399163	0.13278229724431992
14200	0.3953118814410252	0.35108620398757767	0.13004325452797313
14300	0.4024320226278853	0.35258774565351175	0.12755325154179187
14400	0.3871064902530256	0.3523047301434523	0.12485018493434054
14500	0.40403019185319794	0.3575217868578776	0.13873278457339772
14600	0.3989668068858753	0.3576592536158956	0.12893138766188475
14700	0.42285592584043746	0.3396709497555214	0.1396476788568296
14800	0.401958791863115	0.3323982089607878	0.11828314723285181
14900	0.3887899262511537	0.3343858599406934	0.11791066055350365
15000	0.4028868861657116	0.3426972864197974	0.12569383752505692
15100	0.3753889091642605	0.3442419593882967	0.11344386526029346
15200	0.3973065661675431	0.33522326529812085	0.12967600845063074
15300	0.3958402847959402	0.35321791501162214	0.12630357879110235
15400	0.4083104656388413	0.34902298627476763	0.13098190010002425
15500	0.4200567990467665	0.4005408704532249	0.14639338403987878
15600	0.3857144565271972	0.35245836967938665	0.12521760655820538
15700	0.4164633439065946	0.3395755905830489	0.12870414889861215
15800	0.42072792481916205	0.36789431081930596	0.13004941466903683
15900	0.40677066492270003	0.33962069508039316	0.13510099813500157
16000	0.40599782972345266	0.35470611154197174	0.129056045155535
16100	0.4041935946154352	0.32326359656568093	0.12397514506728953
