Checkpoint,split_a_landlord,split_b_landlord
50,0.965897166841553,0.9548872180451128
60,0.9989506820566632,0.9994987468671679
70,0.9984260230849947,0.9979949874686717
80,1.0,1.0
90,1.0,1.0
100,1.0,1.0
150,0.9994753410283316,0.9984962406015038
200,0.9947534102833159,0.9909774436090225
250,0.9055613850996852,0.9674185463659147
300,0.8011542497376705,0.9558897243107769
350,0.6794333683105981,0.9022556390977443
400,0.49160545645330533,0.8541353383458646
450,0.34679958027282265,0.7859649122807018
500,0.3111227701993704,0.7368421052631579
550,0.42025183630640084,0.8551378446115289
600,0.43809024134312696,0.9002506265664161
650,0.64900314795383,0.9558897243107769
700,0.5687303252885625,0.943358395989975
750,0.6867785939139559,0.9593984962406015
800,0.7722980062959076,0.9719298245614035
850,0.6983210912906611,0.9503759398496241
900,0.770199370409234,0.9799498746867168
950,0.7518363064008394,0.9593984962406015
1000,0.7959076600209863,0.9764411027568922
1050,0.7046169989506821,0.9408521303258145
1100,0.6883525708289612,0.9614035087719298
1150,0.7177334732423925,0.9644110275689223
1200,0.8064008394543547,0.9639097744360903
1250,0.7722980062959076,0.9588972431077695
1300,0.7497376705141658,0.9443609022556391
1350,0.7334732423924449,0.9503759398496241
1400,0.7324239244491081,0.9423558897243107
1450,0.5939139559286464,0.8631578947368421
1500,0.6631689401888772,0.9368421052631579
1550,0.7523609653725079,0.9679197994987468
1600,0.5104931794333684,0.8641604010025062
1650,0.5335781741867786,0.9238095238095239
1700,0.968520461699895,0.9944862155388471
1750,0.6332633788037776,0.9263157894736842
1800,0.6757607555089192,0.9097744360902256
1850,0.6537250786988458,0.9002506265664161
1900,0.5886673662119623,0.9132832080200501
1950,0.6038824763903463,0.8636591478696742
2000,0.6516264428121721,0.899749373433584
2100,0.6075550891920252,0.9197994987468672
2200,0.6075550891920252,0.9353383458646617
2300,0.5257082896117523,0.7709273182957393
2400,0.6852046169989506,0.8897243107769424
2500,0.3982161594963274,0.7127819548872181
2600,0.46432318992654775,0.8355889724310777
2700,0.4805876180482686,0.8571428571428571
2800,0.4580272822665268,0.7859649122807018
2900,0.4690451206715635,0.7303258145363408
3000,0.5571878279118573,0.818546365914787
3100,0.5634837355718783,0.8817042606516291
3200,0.6343126967471143,0.9037593984962407
3300,0.4559286463798531,0.86265664160401
3400,0.4795383001049318,0.7869674185463659
3500,0.5225603357817419,0.7839598997493734
3600,0.4197271773347324,0.7634085213032581
3700,0.534102833158447,0.8401002506265665
3800,0.45120671563483733,0.8265664160401003
3900,0.5414480587618048,0.7869674185463659
4000,0.5225603357817419,0.825062656641604
4100,0.5005246589716684,0.7704260651629072
4200,0.41867785939139557,0.6977443609022557
4300,0.4454354669464848,0.7413533834586467
4400,0.4769150052465897,0.8300751879699249
4500,0.5335781741867786,0.8200501253132833
4600,0.48163693599160545,0.7553884711779448
4700,0.42444910807974817,0.7228070175438597
4800,0.5445960125918153,0.8461152882205514
4900,0.38562434417628544,0.7583959899749373
5000,0.5157397691500525,0.8355889724310777
5100,0.4653725078698846,0.8325814536340852
5200,0.4837355718782791,0.793984962406015
5300,0.4580272822665268,0.7834586466165413
5400,0.4559286463798531,0.7854636591478696
5500,0.44648478488982163,0.780952380952381
5600,0.5178384050367262,0.7879699248120301
5700,0.4527806925498426,0.8290726817042606
5800,0.378803777544596,0.7112781954887218
5900,0.4055613850996852,0.8015037593984963
6000,0.42707240293809023,0.7644110275689223
6100,0.4354669464847849,0.7273182957393484
6200,0.4354669464847849,0.768922305764411
6300,0.4228751311647429,0.7634085213032581
6400,0.4144805876180483,0.4270676691729323
6500,0.6280167890870934,0.8270676691729323
6600,0.5141657922350472,0.8090225563909774
6700,0.5482686253934942,0.844110275689223
6800,0.4359916054564533,0.8090225563909774
6900,0.3704092339979014,0.7298245614035088
7000,0.412906610703043,0.7994987468671679
7100,0.3620146904512067,0.7934837092731829
7200,0.3751311647429171,0.7764411027568923
