Checkpoint,split_a_landlord,split_b_landlord
50,1.0,1.0
60,1.0,1.0
70,1.0,1.0
80,1.0,1.0
90,1.0,1.0
100,1.0,1.0
150,1.0,1.0
200,1.0,1.0
250,1.0,1.0
300,0.9994753410283316,0.9994987468671679
350,0.9968520461699895,0.9974937343358395
400,0.9737670514165793,0.9719298245614035
450,0.9926547743966422,0.9904761904761905
500,0.9795383001049318,0.9619047619047619
550,0.9627492130115425,0.9383458646616541
600,0.9695697796432319,0.9348370927318296
650,0.965897166841553,0.9453634085213033
700,0.9197271773347324,0.7774436090225564
750,0.9349422875131165,0.9012531328320802
800,0.9606505771248688,0.8130325814536341
850,0.9039874081846799,0.7388471177944862
900,0.9512067156348374,0.750375939849624
950,0.9753410283315844,0.912781954887218
1000,0.9391395592864638,0.7523809523809524
1050,0.9160545645330536,0.6576441102756893
1100,0.9622245540398741,0.86265664160401
1150,0.9328436516264428,0.7664160401002507
1200,0.9286463798530955,0.613032581453634
1250,0.9092339979013642,0.6365914786967418
1300,0.9045120671563484,0.5829573934837092
1350,0.9076600209863589,0.6491228070175439
1400,0.919202518363064,0.5944862155388471
1450,0.9233997901364114,0.5769423558897243
1500,0.9113326337880377,0.44511278195488724
1550,0.8709338929695698,0.37543859649122807
1600,0.9097586568730325,0.581453634085213
1650,0.9186778593913956,0.531328320802005
1700,0.94700944386149,0.7994987468671679
1750,0.9338929695697796,0.6270676691729323
1800,0.9039874081846799,0.40651629072681705
1850,0.8898216159496327,0.45764411027568924
1900,0.9150052465897167,0.4320802005012531
1950,0.8950682056663168,0.3358395989974937
2000,0.9375655823714586,0.5398496240601504
2100,0.8819517313746065,0.27418546365914787
2200,0.897691500524659,0.3243107769423559
2300,0.9108079748163693,0.34536340852130326
2400,0.8819517313746065,0.2756892230576441
2500,0.887722980062959,0.3137844611528822
2600,0.919202518363064,0.4145363408521303
2700,0.8683105981112277,0.24962406015037594
2800,0.9144805876180483,0.28972431077694233
2900,0.9055613850996852,0.3458646616541353
3000,0.9018887722980063,0.28922305764411027
3100,0.9171038824763903,0.3518796992481203
3200,0.9113326337880377,0.3393483709273183
3300,0.9024134312696747,0.4766917293233083
3400,0.916579223504722,0.38145363408521304
3500,0.9071353620146905,0.2556390977443609
3600,0.8871983210912907,0.24511278195488723
3700,0.9008394543546695,0.3383458646616541
3800,0.8934942287513117,0.2681704260651629
3900,0.887722980062959,0.24711779448621554
4000,0.8924449108079748,0.2596491228070175
4100,0.8782791185729276,0.21002506265664161
4200,0.866211962224554,0.2075187969924812
4300,0.891395592864638,0.24060150375939848
4400,0.891395592864638,0.3097744360902256
4500,0.9076600209863589,0.26165413533834586
4600,0.9018887722980063,0.42105263157894735
4700,0.8609653725078699,0.2511278195488722
4800,0.8725078698845751,0.3238095238095238
4900,0.8777544596012592,0.28771929824561404
5000,0.8803777544596013,0.3032581453634085
5100,0.8987408184679958,0.33884711779448623
5200,0.8693599160545645,0.2987468671679198
5300,0.8950682056663168,0.33734335839599
5400,0.9081846799580273,0.33734335839599
5500,0.8997901364113327,0.3067669172932331
5600,0.8798530954879329,0.27769423558897244
5700,0.8950682056663168,0.3398496240601504
5800,0.885099685204617,0.2987468671679198
5900,0.8499475341028332,0.23308270676691728
6000,0.8892969569779643,0.3067669172932331
6100,0.9050367261280168,0.3719298245614035
6200,0.887722980062959,0.33784461152882206
6300,0.8892969569779643,0.24260651629072683
6400,1.0,1.0
6500,0.916579223504722,0.8355889724310777
6600,0.869884575026233,0.24110275689223057
6700,0.8961175236096537,0.3684210526315789
