Checkpoint,split_a_landlord,split_b_landlord
50,1.0,1.0
60,1.0,1.0
70,1.0,1.0
80,1.0,1.0
90,1.0,1.0
100,1.0,1.0
150,1.0,1.0
200,0.9968520461699895,0.9989974937343359
250,0.9732423924449108,0.9929824561403509
300,0.8273871983210913,0.9679197994987468
350,0.6327387198321092,0.8832080200501253
400,0.5288562434417629,0.7398496240601504
450,0.7177334732423925,0.9218045112781955
500,0.6867785939139559,0.8721804511278195
550,0.6516264428121721,0.8656641604010025
600,0.6458551941238195,0.8576441102756892
650,0.6406086044071354,0.8390977443609022
700,0.612277019937041,0.8406015037593985
750,0.6983210912906611,0.8766917293233083
800,0.6295907660020986,0.8050125313283208
850,0.6259181532004198,0.8290726817042606
900,0.6332633788037776,0.8385964912280702
950,0.6983210912906611,0.8887218045112782
1000,0.5508919202518363,0.7583959899749373
1050,0.5891920251836307,0.8155388471177945
1100,0.6469045120671564,0.8621553884711779
1150,0.6243441762854145,0.8200501253132833
1200,0.7061909758656874,0.8776942355889724
1250,0.6526757607555089,0.8140350877192982
1300,0.6511017838405037,0.8395989974937343
1350,0.6500524658971668,0.8210526315789474
1400,0.7591815320041972,0.8852130325814537
1450,0.6012591815320042,0.8095238095238095
1500,0.5907660020986358,0.8010025062656642
1550,0.5482686253934942,0.7473684210526316
1600,0.4753410283315845,0.7263157894736842
1650,0.5603357817418678,0.7333333333333333
1700,0.2712486883525708,0.45363408521303256
1750,0.4758656873032529,0.6691729323308271
1800,0.561909758656873,0.6952380952380952
1850,0.5613850996852047,0.7478696741854637
1900,0.5682056663168941,0.7744360902255639
1950,0.6169989506820567,0.8145363408521303
2000,0.44018887722980066,0.6802005012531328
2100,0.44805876180482684,0.6631578947368421
2200,0.5272822665267576,0.6917293233082706
2300,0.5981112277019937,0.7824561403508772
2400,0.5828961175236097,0.7764411027568923
2500,0.5414480587618048,0.7714285714285715
2600,0.5897166841552991,0.7739348370927318
2700,0.5367261280167891,0.7849624060150376
2800,0.4774396642182581,0.7333333333333333
2900,0.5162644281217209,0.7273182957393484
3000,0.45435466946484787,0.6426065162907268
3100,0.5,0.6796992481203008
3200,0.5320041972717734,0.7137844611528822
3300,0.36935991605456453,0.6506265664160401
3400,0.48845750262329485,0.6837092731829574
3500,0.5036726128016789,0.687218045112782
3600,0.621196222455404,0.8
3700,0.5031479538300105,0.7293233082706767
3800,0.527806925498426,0.6902255639097744
3900,0.6505771248688352,0.7859649122807018
4000,0.5550891920251836,0.7117794486215538
4100,0.4931794333683106,0.7203007518796992
4200,0.521511017838405,0.7273182957393484
4300,0.5351521511017838,0.6756892230576441
4400,0.5435466946484785,0.7684210526315789
4500,0.4454354669464848,0.6586466165413534
4600,0.5052465897166841,0.7263157894736842
4700,0.5015739769150053,0.7057644110275689
4800,0.4333683105981112,0.7092731829573935
4900,0.4050367261280168,0.681203007518797
5000,0.41710388247639035,0.6736842105263158
5100,0.4333683105981112,0.7197994987468672
5200,0.48898216159496327,0.7032581453634085
5300,0.35571878279118574,0.6466165413533834
5400,0.4108079748163694,0.7082706766917293
5500,0.44438614900314793,0.6671679197994987
5600,0.44123819517313745,0.6641604010025063
5700,0.4302203567681007,0.6481203007518797
5800,0.3441762854144806,0.5759398496240602
5900,0.4108079748163694,0.6621553884711779
6000,0.4176285414480588,0.6887218045112782
6100,0.4522560335781742,0.6927318295739349
6200,0.41343126967471144,0.6255639097744361
6300,0.3919202518363064,0.6546365914786968
6400,0.9989506820566632,0.9994987468671679
6500,0.4391395592864638,0.6546365914786968
